日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅
2021-01-18,'000001,上证指数,3596.2237,3608.7665,3544.2614,3554.7977,3566.3778,29.8459,0.8369
2021-01-15,'000001,上证指数,3566.3778,3589.2655,3533.7882,3566.2847,3565.9046,0.4732,0.0133
2021-01-14,'000001,上证指数,3565.9046,3599.0584,3559.6001,3584.9324,3598.6518,-32.7472,-0.91
2021-01-13,'000001,上证指数,3598.6518,3622.3475,3575.5945,3613.281,3608.3389,-9.6871,-0.2685
2021-01-12,'000001,上证指数,3608.3389,3608.3389,3517.4689,3518.0106,3531.4978,76.8411,2.1759
2021-01-11,'000001,上证指数,3531.4978,3597.7022,3516.9862,3571.3212,3570.1082,-38.6104,-1.0815
2021-01-08,'000001,上证指数,3570.1082,3588.0625,3544.8912,3577.6923,3576.2046,-6.0964,-0.1705
2021-01-07,'000001,上证指数,3576.2046,3576.2046,3526.6174,3552.9087,3550.8767,25.3279,0.7133
2021-01-06,'000001,上证指数,3550.8767,3556.8022,3513.1262,3530.9072,3528.6767,22.2,0.6291
2021-01-05,'000001,上证指数,3528.6767,3528.6767,3484.7151,3492.1912,3502.9584,25.7183,0.7342
2021-01-04,'000001,上证指数,3502.9584,3511.6554,3457.2061,3474.6793,3473.0693,29.8891,0.8606
